"""source: Plant & Soil Sciences eLibrary, Lesson: Soils - Part 2: Physical Properties of Soil and Soil Water, page 10 (Soil Water), Table 2.6. https://passel2.unl.edu/view/lesson/0cff7943f577/10; Rain Machine support documentation, ""Zones"", ""Soil Types"", Table. https://support.rainmachine.com/hc/en-us/articles/228001248-Soil-Types""",,,,,,,,,
"""NOTES: water holding capacity=0 when missing value; """,,,,,,,,,
"""types of texture types from row """,6,""" to """,17,,,,,,
"""Texture type in column """,1,"""Field capacity (%) in column """,2,"""Water holding capacity (in/ft; min, max) in columns """,3,""" and """,4,"""Intake rate (mm/hour) in column """,5
"""Texture type""","""Field capacity (%)""","""minimum Water holding capacity (in/ft)""","""maximum Water holding capacity (in/ft)""","""Intake Rate (mm/hour)""",,,,,
Clay,0.357,1.2,1.5,2.54,,,,,
Clay loam,0.306,0,0,5.08,,,,,
Loam,0.26,0,0,8.89,,,,,
Loamy sand,0.14,1.1,1.2,12.7,,,,,
Sand,0.1,0.25,1,15.24,,,,,
Sandy clay,0.306,0,0,6.35,,,,,
Sandy clay loam,0.306,0,0,6.35,,,,,
Sandy loam,0.17,1.25,2,10.16,,,,,
Silt,0.255,0,0,7.62,,,,,
Silt loam,0.272,2,2.5,8.128,,,,,
Silty clay,0.3485,1.5,1.7,3.81,,,,,
Silty clay loam,0.2365,1.8,2,3.81,,,,,
